Time,Symbol,Price,Action,Portfolio,Capital
2024-11-21 01:25:21,AAPL,227.34500122070312,HOLD,{},10000
2024-11-21 01:25:21,GOOGL,174.56500244140625,HOLD,{},10000
2024-11-21 01:25:21,MSFT,413.7799987792969,HOLD,{},10000
2024-11-21 01:25:21,AMZN,201.25,HOLD,{},10000
2024-11-21 01:25:26,AAPL,227.34500122070312,HOLD,{},10000
2024-11-21 01:25:26,GOOGL,174.56500244140625,HOLD,{},10000
2024-11-21 01:25:26,MSFT,413.7799987792969,HOLD,{},10000
2024-11-21 01:25:26,AMZN,201.25,HOLD,{},10000
2024-11-21 01:25:32,AAPL,227.32000732421875,HOLD,{},10000
2024-11-21 01:25:32,GOOGL,174.55999755859375,HOLD,{},10000
2024-11-21 01:25:32,MSFT,413.751708984375,HOLD,{},10000
2024-11-21 01:25:32,AMZN,201.24000549316406,HOLD,{},10000
2024-11-21 01:25:37,AAPL,227.32000732421875,HOLD,{},10000
2024-11-21 01:25:37,GOOGL,174.55999755859375,HOLD,{},10000
2024-11-21 01:25:37,MSFT,413.751708984375,HOLD,{},10000
2024-11-21 01:25:37,AMZN,201.24000549316406,HOLD,{},10000
2024-11-21 01:25:43,AAPL,227.35009765625,HOLD,{},10000
2024-11-21 01:25:43,GOOGL,174.5800018310547,HOLD,{},10000
2024-11-21 01:25:43,MSFT,413.7969055175781,HOLD,{},10000
2024-11-21 01:25:43,AMZN,201.25,HOLD,{},10000
2024-11-21 01:25:48,AAPL,227.35009765625,HOLD,{},10000
2024-11-21 01:25:48,GOOGL,174.5800018310547,HOLD,{},10000
2024-11-21 01:25:48,MSFT,413.7969055175781,HOLD,{},10000
2024-11-21 01:25:49,AMZN,201.25,HOLD,{},10000
2024-11-21 01:25:54,AAPL,227.35910034179688,HOLD,{},10000
2024-11-21 01:25:54,GOOGL,174.593994140625,HOLD,{},10000
2024-11-21 01:25:54,MSFT,413.82501220703125,HOLD,{},10000
2024-11-21 01:25:54,AMZN,201.24000549316406,HOLD,{},10000
2024-11-21 01:25:59,AAPL,227.35910034179688,HOLD,{},10000
2024-11-21 01:25:59,GOOGL,174.593994140625,HOLD,{},10000
2024-11-21 01:25:59,MSFT,413.82501220703125,HOLD,{},10000
2024-11-21 01:25:59,AMZN,201.24000549316406,HOLD,{},10000
2024-11-21 01:26:05,AAPL,227.37989807128906,HOLD,{},10000
2024-11-21 01:26:05,GOOGL,174.5800018310547,HOLD,{},10000
2024-11-21 01:26:05,MSFT,413.7799987792969,HOLD,{},10000
2024-11-21 01:26:05,AMZN,201.22500610351562,HOLD,{},10000
2024-11-21 01:26:10,AAPL,227.37989807128906,HOLD,{},10000
2024-11-21 01:26:10,GOOGL,174.5800018310547,HOLD,{},10000
2024-11-21 01:26:10,MSFT,413.7799987792969,HOLD,{},10000
2024-11-21 01:26:10,AMZN,201.22500610351562,HOLD,{},10000
2024-11-21 01:26:16,AAPL,227.3699951171875,HOLD,{},10000
2024-11-21 01:26:16,GOOGL,174.57000732421875,HOLD,{},10000
2024-11-21 01:26:16,MSFT,413.80499267578125,HOLD,{},10000
2024-11-21 01:26:16,AMZN,201.1999969482422,HOLD,{},10000
